Gene names (ordered locus ),growth_rate,bio_rep,log2_ratio
MMP0001,f,1.0,-1.026205070347394
MMP0001,f,2.0,-0.7490384264667812
MMP0001,m,1.0,-0.9241251330248723
MMP0001,m,2.0,-0.814603158559873
MMP0001,m,3.0,0.6951029856404789
MMP0001,s,2.0,-0.5585165204173551
MMP0001,s,3.0,0.7898377231664049
MMP0001,xs,1.0,-0.7352705729094087
MMP0001,xs,2.0,-0.06425084680021786
MMP0002,f,3.0,-2.41119543298445
MMP0002,m,1.0,-2.954557029238833
MMP0002,m,3.0,-1.8313579644411608
MMP0002,s,1.0,-1.1811494391045665
MMP0002,s,3.0,-1.3716547543940791
MMP0002,xs,1.0,-1.0232697793228471
MMP0002,xs,3.0,1.4234468514915255
MMP0003,f,1.0,0.8376911901003535
MMP0003,f,2.0,1.086649281714887
MMP0003,f,3.0,-2.892181822190973
MMP0003,m,1.0,1.3592027340282662
MMP0003,m,2.0,1.1627706343327813
MMP0003,m,3.0,-2.6082497241854505
MMP0003,s,1.0,-0.44167038011569687
MMP0003,s,2.0,-0.5359894655165074
MMP0003,s,3.0,-1.0747493322103245
MMP0003,xs,1.0,-0.23692552041710868
MMP0003,xs,2.0,-0.18814532110953616
MMP0003,xs,3.0,0.6871372131831246
MMP0006,f,1.0,-0.46215528968110253
MMP0006,f,2.0,-0.42103190530165896
MMP0006,f,3.0,-0.7015266524588926
MMP0006,m,1.0,-0.6769263996235617
MMP0006,m,2.0,-0.3309951054069565
MMP0006,m,3.0,-0.7527989043771743
MMP0006,s,1.0,-0.5331801034423417
MMP0006,s,2.0,-0.4554408321576869
MMP0006,s,3.0,-0.5951755787778835
MMP0006,xs,1.0,-0.6226027770006503
MMP0006,xs,2.0,-0.8796141405615487
MMP0006,xs,3.0,-0.011902491400576526
MMP0010,f,1.0,-0.3287795181104127
MMP0010,f,2.0,0.6031218698399963
MMP0010,m,1.0,0.8431155721882467
MMP0010,m,2.0,0.7561387310703566
MMP0010,s,2.0,-0.5479317697761891
MMP0013,f,2.0,0.3961594890731545
MMP0013,f,3.0,-0.9389553326067624
MMP0013,m,1.0,0.19680310206566126
MMP0013,m,2.0,1.1217050640430786
MMP0013,m,3.0,-1.0015308800501697
MMP0013,s,1.0,1.8758296011558828
MMP0013,s,2.0,0.543173815692841
MMP0013,s,3.0,-0.7486914631399135
MMP0013,xs,1.0,-0.6179543352533458
MMP0013,xs,2.0,-0.12629856573685297
MMP0013,xs,3.0,1.1538053360790355
MMP0017,f,1.0,-1.82315542920212
MMP0017,m,1.0,-0.6804119929125806
MMP0017,m,2.0,-1.3807777577258697
MMP0017,s,1.0,-0.5061574236493919
MMP0017,s,2.0,0.27633788343967347
MMP0020,f,1.0,-0.5795207763325463
MMP0020,f,2.0,0.30161767280636714
MMP0020,f,3.0,-0.6180239970950204
MMP0020,m,1.0,-0.3633956080800929
MMP0020,m,2.0,0.46908176510682487
MMP0020,m,3.0,-0.5352362900554546
MMP0020,s,1.0,-0.17821646851112705
MMP0020,s,2.0,-0.0894639563644178
MMP0020,s,3.0,-0.6524454855555102
MMP0020,xs,1.0,0.13389672633934965
MMP0020,xs,2.0,0.10030490579568548
MMP0020,xs,3.0,-0.8932634405108532
MMP0023,f,2.0,-1.4327502035536752
MMP0023,f,3.0,-0.25751809805062287
MMP0023,m,3.0,-0.31201844770261805
MMP0023,s,1.0,-0.5248449308618643
MMP0023,s,2.0,-1.1150295197927564
MMP0023,s,3.0,0.1756524127351621
MMP0023,xs,1.0,0.26957136282392014
MMP0023,xs,2.0,-0.3325968868210521
MMP0025,f,1.0,-0.40963953352896304
MMP0025,f,2.0,-0.8246751010695532
MMP0025,f,3.0,-0.4957564001590902
MMP0025,m,1.0,-0.9937650399568748
MMP0025,m,2.0,-1.5983703597386512
MMP0025,m,3.0,-0.6294626691747642
MMP0025,s,1.0,-0.8223941869793313
MMP0025,s,2.0,-0.7659430545007186
MMP0025,s,3.0,-0.5647602125868061
MMP0025,xs,1.0,0.5386699988840206
MMP0025,xs,2.0,-0.5273622535920518
MMP0025,xs,3.0,0.5110017130058538
MMP0030,m,2.0,0.1826922975161903
MMP0030,s,2.0,-1.7226103011891363
MMP0030,xs,1.0,1.3308719500754482
MMP0030,xs,2.0,1.961180041871818
MMP0030,xs,3.0,2.480523646388259
MMP0033,f,3.0,1.5940707568515382
MMP0033,m,2.0,-2.8996950942043145
