Gene names (ordered locus ),comparison,mean_formate,mean_phosphate,log2FC,n_formate,n_phosphate,p_value,fdr
MMP1015,formate_vs_phosphate,2.029197733430217,0.09016302434412184,1.939034709086095,12,12,8.037780134502267e-09,5.192206872564054e-06
MMP1301,formate_vs_phosphate,1.5009638706109094,0.12777841729330672,1.3731854533176027,12,12,1.5927014946515503e-08,5.192206872564054e-06
MMP0058,formate_vs_phosphate,1.0113991767482429,0.010909118675037105,1.0004900580732057,12,12,8.261889118811344e-08,1.795583901821665e-05
MMP0357,formate_vs_phosphate,2.4933495754265333,-0.8409668728734694,3.3343164483000027,6,9,4.7240105766438617e-07,7.23150926034372e-05
MMP1567,formate_vs_phosphate,0.6503628419987878,-0.22083521496184655,0.8711980569606343,12,12,5.804621295610298e-07,7.23150926034372e-05
MMP1560,formate_vs_phosphate,0.23674104956558575,-0.8231394102326791,1.059880459798265,11,12,6.654763123015693e-07,7.23150926034372e-05
MMP0126,formate_vs_phosphate,-1.580347962358163,0.33297917952086103,-1.913327141879024,9,12,1.1983552143736601e-06,0.00011161822853880377
MMP1347,formate_vs_phosphate,0.6355154428136723,-0.26429652956878397,0.8998119723824562,12,12,1.517884379603596e-06,0.00011804190408998231
MMP1298,formate_vs_phosphate,1.3075132898074977,-0.07746668172169713,1.3849799715291948,12,12,1.6294127865181608e-06,0.00011804190408998231
MMP0076,formate_vs_phosphate,0.7687550643505459,-0.4892800561979693,1.2580351205485152,12,12,2.336126228555763e-06,0.00015231543010183575
MMP1299,formate_vs_phosphate,1.0783631360662738,-0.12213704410687554,1.2005001801731492,12,12,3.617368478957061e-06,0.00021441129529818216
MMP0975,formate_vs_phosphate,1.0627615539696498,-0.746610263639749,1.809371817609399,11,12,5.574435717014189e-06,0.0003028776739577709
MMP1302,formate_vs_phosphate,1.814258352996828,0.36550914030791654,1.4487492126889114,12,12,8.688270307435949e-06,0.0004357501723421722
MMP1021,formate_vs_phosphate,1.2008751880778197,-0.8324271009981014,2.033302289075921,10,11,9.58461199409992e-06,0.00044636907286808197
MMP0297,formate_vs_phosphate,-0.03304320670700862,-0.8701198656157384,0.8370766589087297,12,12,1.2466808637082312e-05,0.0005418906154251779
MMP0952,formate_vs_phosphate,0.6216845190935815,-0.9853508253718369,1.6070353444654184,12,12,2.3342993509702792e-05,0.0009512269855203887
MMP0311,formate_vs_phosphate,1.4678578705057594,-0.15987969740944763,1.627737567915207,11,5,3.27511637726893e-05,0.0012561034576349071
