Gene names (ordered locus ),log2FC,p_value,fdr,comparison,mean_formate,mean_phosphate,n_formate,n_phosphate
MMP1015,1.939034709086095,8.037780134502267e-09,5.192206872564054e-06,formate_vs_phosphate,2.029197733430217,0.09016302434412184,12,12
MMP1301,1.3731854533176027,1.5927014946515503e-08,5.192206872564054e-06,formate_vs_phosphate,1.5009638706109094,0.12777841729330672,12,12
MMP0058,1.0004900580732057,8.261889118811344e-08,1.795583901821665e-05,formate_vs_phosphate,1.0113991767482429,0.010909118675037105,12,12
MMP0357,3.3343164483000027,4.7240105766438617e-07,7.23150926034372e-05,formate_vs_phosphate,2.4933495754265333,-0.8409668728734694,6,9
MMP1560,1.059880459798265,6.654763123015693e-07,7.23150926034372e-05,formate_vs_phosphate,0.23674104956558575,-0.8231394102326791,11,12
MMP1567,0.8711980569606343,5.804621295610298e-07,7.23150926034372e-05,formate_vs_phosphate,0.6503628419987878,-0.22083521496184655,12,12
MMP0126,-1.913327141879024,1.1983552143736601e-06,0.00011161822853880377,formate_vs_phosphate,-1.580347962358163,0.33297917952086103,9,12
MMP1298,1.3849799715291948,1.6294127865181608e-06,0.00011804190408998231,formate_vs_phosphate,1.3075132898074977,-0.07746668172169713,12,12
MMP1347,0.8998119723824562,1.517884379603596e-06,0.00011804190408998231,formate_vs_phosphate,0.6355154428136723,-0.26429652956878397,12,12
MMP0076,1.2580351205485152,2.336126228555763e-06,0.00015231543010183575,formate_vs_phosphate,0.7687550643505459,-0.4892800561979693,12,12
MMP1299,1.2005001801731492,3.617368478957061e-06,0.00021441129529818216,formate_vs_phosphate,1.0783631360662738,-0.12213704410687554,12,12
MMP0975,1.809371817609399,5.574435717014189e-06,0.0003028776739577709,formate_vs_phosphate,1.0627615539696498,-0.746610263639749,11,12
MMP1302,1.4487492126889114,8.688270307435949e-06,0.0004357501723421722,formate_vs_phosphate,1.814258352996828,0.36550914030791654,12,12
MMP1021,2.033302289075921,9.58461199409992e-06,0.00044636907286808197,formate_vs_phosphate,1.2008751880778197,-0.8324271009981014,10,11
MMP0297,0.8370766589087297,1.2466808637082312e-05,0.0005418906154251779,formate_vs_phosphate,-0.03304320670700862,-0.8701198656157384,12,12
MMP0952,1.6070353444654184,2.3342993509702792e-05,0.0009512269855203887,formate_vs_phosphate,0.6216845190935815,-0.9853508253718369,12,12
MMP0311,1.627737567915207,3.27511637726893e-05,0.0012561034576349071,formate_vs_phosphate,1.4678578705057594,-0.15987969740944763,11,5
MMP1637,0.8124567146336923,3.798057239030246e-05,0.0013033333262356423,formate_vs_phosphate,0.7249990418415285,-0.08745767279216377,12,12
MMP0340,-1.2033198691663491,3.6428898095270065e-05,0.0013033333262356423,formate_vs_phosphate,-0.7762044158826016,0.42711545328374756,12,12
MMP1371,1.0939383884486416,5.910583745113257e-05,0.0019268503009069217,formate_vs_phosphate,-0.27735341507399397,-1.3712918035226356,12,12
MMP0687,-0.9578034792169383,6.805388707663659e-05,0.002112911160665098,formate_vs_phosphate,0.12598415061533005,1.0837876298322684,12,12
MMP1134,1.6151755408032138,7.977041842005157e-05,0.002261317948255375,formate_vs_phosphate,1.7835246298175242,0.16834908901431045,11,9
MMP0540,-0.9577225740844021,7.707878052622557e-05,0.002261317948255375,formate_vs_phosphate,-0.9774291708945929,-0.019706596810190834,12,12
MMP1503,1.6603178505265193,0.0001395317155157014,0.0033694325376384194,formate_vs_phosphate,0.04432301917097698,-1.6159948313555423,12,11
MMP1207,1.1118429119390585,0.0001255998505240486,0.0033694325376384194,formate_vs_phosphate,-0.034481603294578944,-1.1463245152336374,12,12
