Gene names (ordered locus ),growth_rate,mean_formate,mean_phosphate,log2FC_within_growth_rate,n_formate,n_phosphate,p_value_within_growth_rate,fdr_within_growth_rate
MMP0001,f,-0.8876217484070876,-0.23436632058919896,-0.6532554278178887,2,3,0.2520669698987233,0.6049311205687805
MMP0003,f,-0.32261378345857744,0.09896701386437029,-0.42158079732294773,3,3,0.7787063543224884,0.9071948778200086
MMP0006,f,-0.528237949147218,0.016012135648238484,-0.5442500847954564,3,3,0.21337592695979354,0.5698735632294261
MMP0013,f,-0.271397921766804,-0.023912619703209265,-0.24748530206359473,2,1,,
MMP0020,f,-0.2986423668737332,-0.6088751218911723,0.31023275501743913,3,1,,
MMP0023,f,-0.845134150802149,1.8419065769406917,-2.6870407277428408,2,3,0.05668612947126855,0.3897415080343707
MMP0025,f,-0.5766903449192021,-0.8368179603821168,0.26012761546291463,3,3,0.32789155620424676,0.659930847591469
MMP0033,f,1.5940707568515382,0.3140228969098218,1.2800478599417164,1,1,,
MMP0034,f,-0.7882859531262207,-0.6859771042506756,-0.10230884887554514,3,1,,
MMP0038,f,-1.7867934066303424,1.6359509920292838,-3.422744398659626,2,1,,
MMP0039,f,0.26171100916907214,1.6138521279624474,-1.3521411187933752,3,2,0.009443127474147552,0.27496318272309106
MMP0040,f,-0.10713783603084796,2.8989853978243945,-3.0061232338552424,3,1,,
MMP0041,f,0.12539383801503623,0.3782814269088984,-0.25288758889386215,3,3,0.3715149560850025,0.6856893815323692
MMP0042,f,0.13681689251450913,0.29395451414075596,-0.15713762162624684,3,3,0.8597971334093022,0.9425635618801863
MMP0044,f,-0.19237060630626576,0.5854442201911984,-0.7778148264974641,3,3,0.020193742797597822,0.32822614781107856
MMP0045,f,-1.0054844805686762,-0.09602048687845931,-0.9094639936902169,3,3,0.07650094352672034,0.43818291913529755
MMP0050,f,-0.6005391875571507,-0.655377787501939,0.054838599944788236,3,3,0.8642229845657968,0.9431430090864615
MMP0051,f,-1.1582490286397773,-0.9751637946017476,-0.18308523403802968,3,3,0.13594229885028578,0.49874569246135775
MMP0052,f,-0.4235843034378571,-0.05018597770210905,-0.37339832573574805,3,3,0.7490732662143462,0.8929838937136542
MMP0057,f,-0.9715775740751832,-1.096020486722586,0.12444291264740281,3,3,0.5921546266741068,0.8134216902633675
MMP0058,f,0.9329487199472615,-0.10464594023284585,1.0375946601801074,3,3,0.006683315364614046,0.24824890207745284
MMP0059,f,-0.5646295832497604,-0.40589071042518005,-0.15873887282458038,3,3,0.6844702063452177,0.8571373347246711
MMP0060,f,-0.19233203296216828,0.1730978207682207,-0.36542985373038894,3,3,0.5069014592307248,0.7560564137678608
MMP0061,f,-0.1562652419177519,-0.6088751218911723,0.4526098799734204,3,1,,
MMP0064,f,0.3521048088974245,0.3140228969098218,0.03808191198760269,3,1,,
MMP0065,f,-1.616194633564978,-0.408246736583029,-1.207947896981949,2,1,,
MMP0066,f,-0.6958509046502298,0.2744822850009645,-0.9703331896511943,3,3,0.05177373637751164,0.37573598448584
MMP0073,f,-0.6377855641030961,-0.414555779791065,-0.22322978431203105,3,3,0.35489211101651036,0.6805787099194448
MMP0076,f,0.9021305776093027,-0.3349316616530816,1.2370622392623842,3,3,0.020908510090766524,0.32822614781107856
MMP0079,f,-0.4487746479158109,-1.5085609273225402,1.0597862794067292,2,2,0.43441312452237235,0.7155564213461237
MMP0080,f,-0.4181509207093163,-0.2451734791298288,-0.17297744157948752,3,3,0.7107899244410074,0.8755071316217363
MMP0081,f,-0.5660707216542546,0.7175037101774394,-1.2835744318316942,3,3,0.12024723614153227,0.4738735419266015
MMP0082,f,-0.6301619110159608,1.0679305452979528,-1.6980924563139137,3,3,0.061111564486382206,0.3970200967974361
MMP0083,f,-0.07742854283592888,0.28040718528300895,-0.3578357281189378,3,3,0.5007934995797358,0.7509428331943564
MMP0086,f,0.5767849734273495,-0.408246736583029,0.9850317100103785,2,1,,
MMP0087,f,-0.18276914684458778,0.36808532025480095,-0.5508544670993887,3,3,0.13152835888105902,0.4896901976802505
MMP0091,f,-0.2699663219266069,0.40633337761950655,-0.6762996995461135,3,2,0.24996155829635258,0.6041853383585021
MMP0092,f,0.07498145954353704,-0.03937882030120521,0.11436027984474224,3,3,0.7638592774778724,0.9028275709384377
MMP0093,f,-0.06642736173897607,0.8060191857802308,-0.8724465475192069,1,2,,
MMP0103,f,-0.7665853851087078,-0.7715112235489187,0.0049258384402108835,3,3,0.9822221504467834,0.9942854499691274
MMP0108,f,0.027906623312635437,0.8607677532272602,-0.8328611299146247,3,3,0.07938334596392722,0.4441796467808182
MMP0116,f,-0.3213400426956721,0.5962513788793964,-0.9175914215750685,3,3,0.14461756959315533,0.5072094469788926
MMP0123,f,-0.04496025826749589,1.878917014117537,-1.923877272385033,3,3,0.0023860805420571596,0.17888445890366844
MMP0125,f,0.39866822116773654,1.155608680454957,-0.7569404592872204,3,3,0.3653400212554364,0.6840408908612426
MMP0126,f,-1.7280278078321596,-0.039378820090925255,-1.6886489877412343,3,3,0.028904124888356687,0.3447062970954905
MMP0127,f,0.2167825938498198,-0.15295475353328647,0.36973734738310626,3,3,0.26113336103603,0.6116337872678139
MMP0132,f,-0.45044124362100824,0.6779555446494907,-1.128396788270499,2,3,0.12798601891773934,0.4842712890177226
MMP0133,f,-0.8309620886295871,-0.6604937760397909,-0.17046831258979622,3,3,0.3725412879271191,0.6856893815323692
MMP0135,f,-0.5711883529080929,-0.16023551234900357,-0.4109528405590893,3,3,0.5257211020720864,0.7627087186458852
MMP0136,f,-0.7330852629538359,-0.3220444549933223,-0.4110408079605136,3,3,0.14826609664537768,0.5083814565552824
MMP0141,f,-0.700049460270341,-0.42935382000831107,-0.2706956402620299,2,3,0.7083510179094994,0.875128497953699
MMP0148,f,-2.5404081703735275,-3.0419659783792325,0.501557808005705,3,3,0.596299671436964,0.8143479995062419
MMP0151,f,-0.37673474548147495,1.013537935613069,-1.3902726810945438,1,2,,
MMP0153,f,-0.42496615396968734,0.9448843693262939,-1.3698505232959812,3,2,0.03275920718955435,0.3447062970954905
MMP0154,f,-0.44545212514171906,-0.5676996531012589,0.12224752795953986,2,3,0.8585900443613739,0.9425635618801863
MMP0155,f,-0.035511596337969645,0.8989853980178106,-0.9344969943557803,2,1,,
MMP0156,f,-0.140954090501399,-0.3727121528021174,0.23175806230071838,3,3,0.6060165324435085,0.8163958582048689
MMP0157,f,-0.4645463659951541,-1.0393788201789713,0.5748324541838172,3,3,0.15869781929771085,0.5137775554521208
MMP0163,f,-0.22392829524335178,-0.2473338837873396,0.023405588543987804,3,3,0.9179780773012227,0.9656909464591406
MMP0164,f,0.22450217659865826,-0.3220444550612593,0.5465466316599176,3,3,0.23730901386768735,0.5988569112476968
MMP0165,f,-0.012943069134280621,0.2839203218568809,-0.2968633909911615,1,2,,
MMP0166,f,-0.8043354711552647,-0.03937882028107446,-0.7649566508741903,3,3,0.474018672640732,0.7318183016207792
MMP0167,f,0.11507715672241631,-0.03515668220740612,0.15023383892982242,3,3,0.7727571707354188,0.9067017469962247
MMP0168,f,-0.387527968962019,-0.5085609292371007,0.1210329602750817,2,2,0.42867429364063847,0.7131820128650046
MMP0176,f,-0.16608436267342358,-1.0077091726786211,0.8416248100051975,3,3,0.10739857244060629,0.4648811461820055
MMP0178,f,-0.38876841787976896,-0.2343663193400188,-0.15440209853975015,3,3,0.820583547416744,0.9279496190413646
MMP0179,f,-0.786514229618902,-1.096020486877247,0.3095062572583449,3,3,0.5630172478199624,0.7910024613784087
MMP0180,f,-0.5673878402844741,-0.008560928687048164,-0.5588269115974259,3,2,0.4666875087214733,0.7295187577082624
MMP0181,f,0.371366178642303,1.0347519870810142,-0.6633858084387112,3,3,0.27210394053590325,0.6123247729637774
MMP0183,f,-0.34770821072618663,0.3446222113073176,-0.6923304220335043,3,3,0.3061703664552575,0.6433744202281189
MMP0187,f,-1.1663516805082803,-0.8549448619769424,-0.3114068185313379,3,2,0.39902738077221656,0.6947095406250101
MMP0212,f,-0.476851883311929,-0.9342115431944397,0.45735965988251065,3,3,0.5115573786242936,0.7581154460694668
MMP0214,f,0.2877962967156292,-0.12705695565247685,0.414853252368106,2,3,0.5964594335226503,0.8143479995062419
MMP0219,f,-0.8448496472659631,-0.42935382034800385,-0.4154958269179593,3,3,0.38108014664210366,0.6866212075309207
MMP0221,f,0.2974849157105747,0.2453693307173908,0.05211558499318392,1,2,,
MMP0224,f,-0.5165982869584501,0.9375363885871172,-1.4541346755455673,3,2,0.3897375766138061,0.6866212075309207
MMP0227,f,0.07515167116255701,0.41391982846341135,-0.33876815730085436,3,3,0.41983791974241846,0.7067880109750627
MMP0234,f,0.6107527650745069,0.23485300313217183,0.3758997619423351,3,3,0.0944963781253021,0.4648811461820055
MMP0235,f,0.6087436752279566,0.14505513822653912,0.46368853700141743,3,2,0.2650950025155537,0.6123247729637774
MMP0245,f,-0.6098974785810011,0.734597211831557,-1.344494690412558,3,3,0.002374825625395768,0.17888445890366844
MMP0249,f,-0.003848691350848236,0.0854196849283757,-0.08926837627922395,3,3,0.862716711605461,0.9429461662505114
MMP0250,f,-0.8265639670555999,-1.3770437248533969,0.550479757797797,3,2,0.042753092204549696,0.36509971521511836
MMP0251,f,-0.6373128562541502,-0.3835193113394498,-0.25379354491470046,3,3,0.39083500552638156,0.6866212075309207
MMP0253,f,-0.8883653961711234,-0.30642740010439146,-0.5819379960667319,3,3,0.38915119577616564,0.6866212075309207
MMP0257,f,0.1943028661799654,0.20627637872361226,-0.01197351254364687,3,3,0.9618601303885868,0.9879497059134935
MMP0258,f,-0.25770245385929297,-0.7912230676422488,0.5335206137829558,3,3,0.07250706735648703,0.4305941177980334
MMP0259,f,-0.2366873087796337,-0.5307272750599968,0.2940399662803631,3,3,0.40139648704579733,0.6970241541246932
MMP0260,f,-0.047553091557126365,-0.1861584654195777,0.13860537386245134,3,3,0.6555760383690672,0.8416413861289881
