Gene names (ordered locus ),matched_growth_rates,log2FC,median_log2FC,mean_p_value,min_p_value,mean_fdr,fdr
MMP1503,2,1.9087557689072057,1.9087557689072057,0.003909651654428656,0.0007994956114571397,0.18801990814548014,0.6497510578815394
MMP1223,2,-1.5661310826886998,-1.5661310826886998,0.004546561111900365,0.004546561111900365,0.20004868892361605,0.6497510578815394
MMP1504,2,1.8285936218218772,1.8285936218218772,0.005353293517021333,0.00012216923186456492,0.16704654547277023,0.6497510578815394
MMP1652,1,2.9609839066210366,2.9609839066210366,0.008497968440382375,0.008497968440382375,0.27420111500967126,0.6497510578815394
MMP0039,1,-1.3521411187933752,-1.3521411187933752,0.009443127474147552,0.009443127474147552,0.27496318272309106,0.6497510578815394
MMP0975,2,2.1106720034881215,2.1106720034881215,0.009947493542052136,0.0034950558288838244,0.2516476445497545,0.6497510578815394
MMP0602,1,-1.854490651653002,-1.854490651653002,0.010984074294992733,0.010984074294992733,0.27496318272309106,0.6497510578815394
MMP1155,2,-1.9544342256442508,-1.9544342256442508,0.011089920003457144,0.007406502252198228,0.2762583972787812,0.6497510578815394
MMP0311,2,1.6871500338511716,1.6871500338511716,0.011117692122394211,0.011117692122394211,0.27496318272309106,0.6497510578815394
MMP1301,2,1.1274873001211696,1.1274873001211696,0.01317040251576107,5.154789888479554e-05,0.19413213040723276,0.6497510578815394
MMP0123,2,-2.311352929811529,-2.311352929811529,0.013260225671051824,0.0023860805420571596,0.25473106321360506,0.6497510578815394
MMP0683,2,0.04067520338196828,0.04067520338196828,0.01696453189992722,0.01696453189992722,0.32822614781107856,0.6956138038527995
MMP0422,2,-0.8608430929732807,-0.8608430929732807,0.018931458250740846,0.018931458250740846,0.32822614781107856,0.6956138038527995
MMP0927,2,-1.3364552198946367,-1.3364552198946367,0.020115266459419603,0.020115266459419603,0.32822614781107856,0.6956138038527995
MMP0076,2,1.2553920700242105,1.2553920700242105,0.020543922488487333,0.02017933488620814,0.32822614781107856,0.6956138038527995
MMP1154,2,-2.3247447249376427,-2.3247447249376427,0.020649018296186997,0.012388529752255774,0.3135424919939775,0.6956138038527995
MMP0295,2,-1.6747818547796243,-1.6747818547796243,0.022898241353635915,0.022898241353635915,0.32822614781107856,0.7165132954846829
MMP1371,2,1.4612062175762683,1.4612062175762683,0.02569055145924874,0.005001929719554483,0.28780785692340133,0.7165132954846829
MMP1300,1,-2.300393470900897,-2.300393470900897,0.029283516556140466,0.029283516556140466,0.3447062970954905,0.7165132954846829
MMP0058,2,0.8688671887980257,0.8688671887980257,0.030913158017874802,0.006683315364614046,0.31884951355336527,0.7165132954846829
MMP1015,2,1.7221163012125174,1.7221163012125174,0.03266744930045686,0.0222928076848732,0.34666293151309846,0.7165132954846829
MMP1017,2,-0.48995161255159747,-0.48995161255159747,0.033868195691924986,0.0028271900341286754,0.2910414448788788,0.7165132954846829
MMP0883,1,1.5001463831836264,1.5001463831836264,0.036761952229423425,0.036761952229423425,0.3523323738423948,0.7165132954846829
