Gene names (ordered locus ),group1,group2,mean_group1,mean_group2,log2FC,n_group1,n_group2,p_value,fdr
MMP1302,xs,s,1.321064453927659,2.1029222320988157,-0.7818577781711566,3,3,0.002427701176492303,0.8949643824593566
MMP0397,xs,s,0.6050054111925275,-0.6125010757233982,1.2175064869159256,3,3,0.0040791142588997905,0.8949643824593566
MMP0407,xs,s,-0.14546929806256562,0.9005624322983886,-1.0460317303609543,3,3,0.007593430631139149,0.8949643824593566
MMP0125,xs,s,1.678452407969509,-0.3229030754805246,2.0013554834500336,3,3,0.007920474594214733,0.8949643824593566
MMP1624,xs,s,0.2988962430729396,-0.2319999736629468,0.5308962167358864,3,3,0.008653392678647353,0.8949643824593566
MMP0261,xs,s,-1.2979965820033081,0.18459452874641913,-1.4825911107497274,2,3,0.012383414715167036,0.8949643824593566
MMP1359,xs,s,0.2647898607336376,-0.530054603479071,0.7948444642127086,3,3,0.01286470392635934,0.8949643824593566
MMP1707,xs,s,-0.24784647973058616,-0.48571075239617256,0.2378642726655864,3,3,0.014450381913767636,0.8949643824593566
MMP0576,xs,s,0.38938431482360253,-0.09167625622515234,0.4810605710487549,3,3,0.016629277024546113,0.8949643824593566
MMP0893,xs,s,1.6618835694631406,-0.26262839253799086,1.9245119620011315,2,3,0.01804825743407478,0.8949643824593566
MMP0431,xs,s,0.637118788009703,-0.33731232852539,0.974431116535093,3,3,0.02007921495984364,0.8949643824593566
MMP0694,xs,s,-0.053659824099691035,-1.5550921461912186,1.5014323220915275,3,3,0.023625970367028702,0.8949643824593566
MMP1271,xs,s,-0.44066036912830914,2.166479309194329,-2.607139678322638,3,3,0.023962144995632748,0.8949643824593566
MMP1235,xs,s,0.47938768157771733,0.9157968053649782,-0.4364091237872609,3,3,0.03032717880285155,0.8949643824593566
MMP1071,xs,s,2.5055616834933487,-0.12927659645780673,2.6348382799511554,3,2,0.03182669846405593,0.8949643824593566
MMP1208,xs,s,0.3153833936956071,-0.24396525750668174,0.5593486512022888,3,3,0.033169637125987375,0.8949643824593566
MMP0923,xs,s,-0.2586309479735945,0.46294943901594965,-0.7215803869895441,3,3,0.03502031966747875,0.8949643824593566
MMP0345,xs,s,-1.2530204850800235,-0.49436299054847693,-0.7586574945315465,2,3,0.03627400689431919,0.8949643824593566
MMP0341,xs,s,0.007917818006611371,-0.39930207261622025,0.4072198906228316,3,3,0.039941485693658484,0.8949643824593566
MMP1148,xs,s,-0.01054059588331068,-0.6464516309018439,0.6359110350185332,2,3,0.044437473686913295,0.8949643824593566
MMP1509,xs,s,0.6518742445878405,-0.09169144255622064,0.7435656871440611,3,3,0.04470814740870401,0.8949643824593566
MMP0076,xs,s,0.2912637203549015,1.026187942581581,-0.7349242222266794,3,3,0.04516137185863111,0.8949643824593566
MMP0163,xs,s,-0.9338629308434617,-0.5715812814370596,-0.3622816494064022,3,3,0.05041265611366842,0.8949643824593566
MMP0133,xs,s,-0.2324806977333681,-1.0951061693995492,0.8626254716661811,3,3,0.05508961733984008,0.8949643824593566
MMP1193,xs,s,1.7232297085851505,1.0950116634376632,0.6282180451474872,3,3,0.057078629859869584,0.8949643824593566
MMP0087,xs,s,0.5250206454999696,0.11810062802451199,0.40692001747545764,2,3,0.05855366983465971,0.8949643824593566
MMP1026,xs,s,-0.585033252186602,-0.0721640770571078,-0.5128691751294941,3,3,0.0705725244197946,0.8949643824593566
MMP1056,xs,s,0.15664614797537318,-1.6215062838061882,1.7781524317815613,2,2,0.07167595313737787,0.8949643824593566
MMP1533,xs,s,-1.2600782597289224,-0.2533150933854294,-1.006763166343493,2,3,0.07370318304746296,0.8949643824593566
MMP1634,xs,s,0.7984204241689413,1.5391205930558687,-0.7407001688869274,3,3,0.07460055029916113,0.8949643824593566
MMP0982,xs,s,0.6263811374021431,-0.5064854084712124,1.1328665458733553,3,3,0.07698782391195473,0.8949643824593566
MMP0866,xs,s,0.2316565979527924,-0.5961138670993251,0.8277704650521175,3,3,0.07759765143853475,0.8949643824593566
