Gene names (ordered locus ),group1,group2,log2FC,p_value,fdr,mean_group1,mean_group2,n_group1,n_group2
MMP1071,xs,s,2.6348382799511554,0.03182669846405593,0.8949643824593566,2.5055616834933487,-0.12927659645780673,3,2
MMP0125,xs,s,2.0013554834500336,0.007920474594214733,0.8949643824593566,1.678452407969509,-0.3229030754805246,3,3
MMP0893,xs,s,1.9245119620011315,0.01804825743407478,0.8949643824593566,1.6618835694631406,-0.26262839253799086,2,3
MMP1056,xs,s,1.7781524317815613,0.07167595313737787,0.8949643824593566,0.15664614797537318,-1.6215062838061882,2,2
MMP1584,xs,s,1.7551911914246987,0.4002083330071021,0.8949643824593566,0.33453084718639353,-1.4206603442383052,2,2
MMP1213,xs,s,1.7502396610987192,0.20988549405709017,0.8949643824593566,-0.2238446180908773,-1.9740842791895965,3,3
MMP1212,xs,s,1.6941610114136292,0.07961452857906878,0.8949643824593566,0.03000950841281876,-1.6641515030008105,3,3
MMP1326,xs,s,1.614142154754577,0.35442394296326724,0.8949643824593566,0.7085504546335238,-0.9055917001210532,3,2
MMP0180,xs,s,1.5754105572827188,0.20701596627551636,0.8949643824593566,0.35317767298379166,-1.2222328842989272,2,3
MMP0694,xs,s,1.5014323220915275,0.023625970367028702,0.8949643824593566,-0.053659824099691035,-1.5550921461912186,3,3
MMP0002,xs,s,1.476490632833662,0.4395975841370762,0.8949643824593566,0.20008853608433919,-1.2764020967493228,2,2
MMP1149,xs,s,1.4223919326950742,0.2450739035462691,0.8949643824593566,1.2134855214809293,-0.208906411214145,3,3
MMP0708,xs,s,1.4216969190470332,0.41157329158190037,0.8949643824593566,0.41648806529127286,-1.0052088537557604,3,3
MMP0624,xs,s,1.4024575033475308,0.40687854844610716,0.8949643824593566,1.036902669335872,-0.3655548340116588,2,3
MMP1017,xs,s,1.3514424739556554,0.11679705175878063,0.8949643824593566,0.3365064884918206,-1.014935985463835,3,3
