Gene names (ordered locus ),growth_rate,bio_rep,log2_ratio
MMP0001,exp,1,-1.263610030171694
MMP0001,f,1,-0.6088751218911723
MMP0001,f,2,0.591753264374251
MMP0001,f,3,-0.6859771042506756
MMP0001,xs,2,-1.4706127375686546
MMP0002,exp,2,-0.29913760838778103
MMP0002,exp,3,1.2681792056269827
MMP0002,xs,1,-0.6710059460255433
MMP0003,exp,1,-1.263610030171694
MMP0003,exp,2,-0.29913760838778103
MMP0003,exp,3,0.49057162756241374
MMP0003,f,1,-0.608875119690962
MMP0003,f,2,0.591753264374251
MMP0003,f,3,0.3140228969098218
MMP0003,i,1,-0.8476606523757996
MMP0003,i,3,-0.4238356135376073
MMP0003,xs,1,-0.4079715390432324
MMP0003,xs,2,0.8513153557193961
MMP0003,xs,3,-0.632663575105486
MMP0004,exp,2,-0.29913760838778103
MMP0004,xs,3,-0.6326635773422764
MMP0006,exp,1,-0.4860024506421795
MMP0006,exp,2,0.20336273287232773
MMP0006,exp,3,-0.22367389021601825
MMP0006,f,1,-0.48334423889055905
MMP0006,f,2,-0.04567665613467611
MMP0006,f,3,0.5770573019699506
MMP0006,i,1,-0.9851641753468605
MMP0006,i,2,-1.2719845819907347
MMP0006,i,3,-0.6753743821002917
MMP0006,xs,1,0.0070659602356112905
MMP0006,xs,2,-1.0111811218391964
MMP0006,xs,3,-0.6326635773422764
MMP0013,exp,1,2.0583180654084385
MMP0013,exp,2,0.9232548126950806
MMP0013,exp,3,0.00514480039217181
MMP0013,f,1,-0.023912619703209265
MMP0013,i,1,-0.43262315309695554
MMP0013,i,2,-0.2719845819907346
MMP0013,i,3,1.8391987920542667
MMP0013,xs,1,1.0659596483703662
MMP0013,xs,2,-0.4706127395677939
MMP0013,xs,3,1.3673364243353163
MMP0020,exp,1,-0.26361003017169404
MMP0020,exp,2,0.7008623924997713
MMP0020,exp,3,0.6832167055048095
MMP0020,f,1,-0.6088751218911723
MMP0020,i,1,0.15233934632607765
MMP0020,i,2,0.5760123239835463
MMP0020,i,3,0.4241612934474228
MMP0020,xs,1,1.3289940545487153
MMP0020,xs,2,0.1143497618197421
MMP0020,xs,3,1.104302017942325
MMP0023,exp,3,0.6832167055048095
MMP0023,f,1,1.713052974316316
MMP0023,f,2,2.9136813592616138
MMP0023,f,3,0.8989853972441455
MMP0023,i,1,0.7373018474799414
MMP0025,exp,1,0.22181679774080143
MMP0025,exp,2,0.37893429650296867
MMP0025,exp,3,-0.7318207937740342
MMP0025,f,1,-0.608875119690962
MMP0025,f,2,-1.2156016572047128
MMP0025,f,3,-0.6859771042506756
MMP0025,i,1,-2.070053075443078
MMP0025,i,2,-1.2719845819907347
MMP0025,i,3,-1.5758387076277771
MMP0025,xs,1,-0.18557911852715397
MMP0025,xs,2,-0.4706127395677939
MMP0025,xs,3,-2.217626073589852
MMP0033,exp,1,-0.26361003017169404
MMP0033,exp,2,-0.29913760838778103
MMP0033,f,3,0.3140228969098218
MMP0033,i,1,-0.8476606523757996
MMP0033,i,2,0.99104982326239
MMP0034,exp,1,2.0583180654084385
MMP0034,exp,2,0.700862391612219
MMP0034,exp,3,-0.7318207937740342
MMP0034,f,3,-0.6859771042506756
MMP0034,i,1,-0.5257325574884372
MMP0034,i,3,1.4241612929098226
MMP0034,xs,1,1.3289940539744567
MMP0034,xs,3,2.6892645184398023
MMP0038,exp,2,0.7008623924997713
MMP0038,f,3,1.6359509920292838
MMP0039,exp,2,-0.29913760838778103
MMP0039,f,2,1.5917532638956111
MMP0039,f,3,1.6359509920292838
MMP0040,exp,2,1.870787393646233
MMP0040,exp,3,0.6832167055048095
MMP0040,f,3,2.8989853978243945
MMP0040,xs,1,1.9919590671804719
MMP0040,xs,2,2.6993122618745184
MMP0040,xs,3,3.5372614258397617
MMP0041,exp,1,-0.7781832034962879
MMP0041,exp,2,-0.884100108221385
MMP0041,exp,3,-0.17927977009181947
MMP0041,f,1,-0.02391262117001616
MMP0041,f,2,0.7072304811314547
MMP0041,f,3,0.4515264207652567
MMP0041,i,1,-0.14722093423470728
MMP0041,i,2,0.5760123239835463
MMP0041,i,3,-0.023297683426052946
MMP0041,xs,1,-0.30843586664083517
MMP0041,xs,2,-0.14868464587991537
MMP0041,xs,3,0.8267680429217775
MMP0042,exp,1,-1.263610030171694
MMP0042,exp,2,0.7008623924997713
MMP0042,exp,3,0.6832167055048095
MMP0042,f,1,0.9760873802967908
MMP0042,f,2,1.1767157647763138
MMP0042,f,3,-1.2709396026508368
MMP0042,i,1,0.7373018474799414
MMP0042,i,2,1.5760123239835464
MMP0042,i,3,0.42416129237222294
MMP0042,xs,1,-0.08604344530438725
MMP0042,xs,2,0.1143497618197421
MMP0042,xs,3,-0.047701075129926614
MMP0043,i,2,0.99104982326239
MMP0043,i,3,0.42416129237222294
MMP0043,xs,1,-0.6710059460255433
MMP0043,xs,2,-1.4706127375686546
MMP0044,exp,1,0.05831806540843839
MMP0044,exp,2,0.7008623924997713
MMP0044,exp,3,0.3612886099435912
MMP0044,f,1,0.7130529747563583
MMP0044,f,2,0.7292567889074152
MMP0044,f,3,0.3140228969098218
MMP0044,i,1,-0.6956575589307495
MMP0044,i,2,0.2540842293381294
MMP0044,i,3,0.5172706975701042
MMP0044,xs,1,0.10660163263800863
MMP0044,xs,2,0.751779681768654
MMP0044,xs,3,0.14494400281246916
MMP0045,exp,1,0.4733555646872822
MMP0045,exp,2,1.2858248929250766
MMP0045,exp,3,0.4201823000304057
MMP0045,f,1,-0.1938376209621707
MMP0045,f,2,-0.408246736583029
MMP0045,f,3,0.3140228969098218
MMP0045,i,1,1.1523393469751393
MMP0045,i,2,1.7984047453199943
MMP0045,i,3,1.4241612929098226
MMP0045,xs,1,1.7884256730293964
MMP0045,xs,2,-0.4706127395677939
MMP0045,xs,3,0.10430201727128796
MMP0046,exp,2,-0.29913760838778103
MMP0046,exp,3,-0.3167832944951905
MMP0046,xs,1,-0.6710059460255433
MMP0049,exp,2,-1.2991376066126765
MMP0049,i,3,-0.16080120834893333
MMP0050,exp,1,-0.8485725291609253
MMP0050,exp,2,-0.29913760838778103
MMP0050,exp,3,-0.432260512214618
MMP0050,f,1,-0.608875119690962
MMP0050,f,2,-0.6712811408851745
MMP0050,f,3,-0.6859771019296805
MMP0050,i,1,-0.48509057270261946
MMP0050,i,2,-0.6463800986432776
MMP0050,i,3,-0.8977668030527396
MMP0050,xs,1,-0.9929340397643887
MMP0050,xs,2,-0.3710770664167075
MMP0050,xs,3,-0.9545916711112434
MMP0051,exp,1,-1.5855381224611689
MMP0051,exp,2,-0.9772095138554395
MMP0051,exp,3,0.00514480039217181
MMP0051,f,1,-1.0943019495014563
