Gene names (ordered locus ),group1,group2,mean_group1,mean_group2,log2FC,n_group1,n_group2,p_value,fdr
MMP1322,xs,i,-0.2167645144437398,-0.6251542025347668,0.40838968809102705,3,3,0.0016526985582588124,0.4370867784887418
MMP1255,xs,i,0.6231913095428477,-2.3081008770452693,2.931292186588117,3,3,0.0030012363052090113,0.4370867784887418
MMP0091,xs,i,3.0315134312222756,1.2633142948023333,1.7681991364199423,3,3,0.0030408095163257766,0.4370867784887418
MMP0176,xs,i,0.09261349011090132,-0.46402089362483917,0.5566343837357405,3,3,0.0034897147983133075,0.4370867784887418
MMP1149,xs,i,-0.38886656147561416,-0.9599695041798207,0.5711029427042066,3,3,0.005439106839888217,0.5449985053567994
MMP1474,xs,i,0.6299987835646487,-0.339137346309988,0.9691361298746366,3,3,0.009400890950660507,0.6083871440851785
MMP0094,xs,i,0.014153158257677427,-1.0848756925432717,1.0990288508009491,2,2,0.015868826141690995,0.6083871440851785
MMP0318,xs,i,-0.087360054864261,-0.7964602717255262,0.7091002168612652,3,3,0.01641526966529213,0.6083871440851785
MMP0820,xs,i,0.8356679503187513,2.2531440650040158,-1.4174761146852646,3,3,0.01654560406636432,0.6083871440851785
MMP1327,xs,i,-0.25809408705027953,0.9631595190935869,-1.2212536061438664,3,3,0.017003455685448712,0.6083871440851785
MMP0080,xs,i,-0.15292681206099734,-1.052529898334589,0.8996030862735916,3,3,0.017425500305742577,0.6083871440851785
MMP1272,xs,i,-0.6791055557604354,-2.4464467082026533,1.767341152442218,3,3,0.019051367467278504,0.6083871440851785
MMP1002,xs,i,0.5091292863189689,-1.0042309303623664,1.5133602166813354,2,2,0.019431394295008942,0.6083871440851785
MMP1308,xs,i,0.010711847562998164,-1.590766514020208,1.6014783615832062,3,3,0.020160040667283698,0.6083871440851785
MMP0602,xs,i,1.3971673413092607,-0.00423093036236645,1.4013982716716271,3,2,0.022599669729219653,0.6083871440851785
MMP1671,xs,i,-2.5347857526542685,-0.17447439861525402,-2.3603113540390144,3,3,0.02317280871091458,0.6083871440851785
MMP0983,xs,i,0.2994948629154859,-1.3143061039474253,1.6138009668629112,3,3,0.02557405846845489,0.6083871440851785
MMP0980,xs,i,-0.31858544522060134,-1.9186038051161407,1.6000183598955393,3,3,0.026298739083608597,0.6083871440851785
MMP1259,xs,i,-0.577880091818627,-1.584792544575165,1.0069124527565378,3,3,0.02889900458324073,0.6083871440851785
MMP0081,xs,i,0.5025308619105417,-0.45910266119850524,0.9616335231090469,3,3,0.031051833395892136,0.6083871440851785
MMP1156,xs,i,0.24971463936932037,1.0393469155717465,-0.7896322762024262,3,3,0.03109259946994945,0.6083871440851785
MMP0981,xs,i,-0.42666463994703663,-1.4647938312107012,1.0381291912636645,3,3,0.032193429851096786,0.6083871440851785
MMP0413,xs,i,-0.521937405658308,0.3321312541545351,-0.8540686598128431,3,3,0.03326609590703256,0.6083871440851785
MMP1504,xs,i,-2.0502193801896187,-1.5267937541327121,-0.5234256260569066,3,3,0.03838659433211232,0.6083871440851785
MMP0345,xs,i,-0.8681190868894958,1.093931993396158,-1.962051080285654,3,3,0.041338736114006555,0.6083871440851785
MMP1003,xs,i,0.7632027384412607,-0.08487569254327165,0.8480784309845324,2,2,0.04458558717276764,0.6083871440851785
MMP1063,xs,i,0.39870375883687403,-0.7056492363208552,1.1043529951577291,3,3,0.04577220544113469,0.6083871440851785
MMP1439,xs,i,1.6295609175577912,3.339587191436055,-1.7100262738782637,3,3,0.04587149303270251,0.6083871440851785
MMP1247,xs,i,-0.6594743271249098,0.2878666419243741,-0.947340969049284,3,3,0.04678793818503553,0.6083871440851785
MMP1158,xs,i,-1.0631065862413749,0.7741459884740941,-1.8372525747154689,3,3,0.04896618199859978,0.6083871440851785
MMP1367,xs,i,-1.248378639342741,-0.6218029814143412,-0.6265756579283998,3,3,0.05020636451882621,0.6083871440851785
MMP0683,xs,i,-0.9247607528998946,0.4492143670091852,-1.3739751199090797,3,2,0.05150220367985676,0.6083871440851785
MMP1240,xs,i,0.04432395077921471,0.9957690693131029,-0.9514451185338882,2,2,0.053047498357481626,0.6083871440851785
MMP0382,xs,i,-1.070809341797099,-2.924099845359319,1.85329050356222,2,3,0.055489654690602914,0.6083871440851785
MMP1533,xs,i,-0.5914274204814735,1.004111768720703,-1.5955391892021766,3,3,0.05744564703164171,0.6083871440851785
