Gene names (ordered locus ),group1,group2,log2FC,p_value,fdr,mean_group1,mean_group2,n_group1,n_group2
MMP1255,xs,i,2.931292186588117,0.0030012363052090113,0.4370867784887418,0.6231913095428477,-2.3081008770452693,3,3
MMP0091,xs,i,1.7681991364199423,0.0030408095163257766,0.4370867784887418,3.0315134312222756,1.2633142948023333,3,3
MMP0176,xs,i,0.5566343837357405,0.0034897147983133075,0.4370867784887418,0.09261349011090132,-0.46402089362483917,3,3
MMP1322,xs,i,0.40838968809102705,0.0016526985582588124,0.4370867784887418,-0.2167645144437398,-0.6251542025347668,3,3
MMP1149,xs,i,0.5711029427042066,0.005439106839888217,0.5449985053567994,-0.38886656147561416,-0.9599695041798207,3,3
MMP0079,xs,i,2.3074145506617145,0.08489342187776193,0.6083871440851785,1.301610537206485,-1.0058040134552295,2,3
MMP0157,xs,i,2.149977322503453,0.08084466627291344,0.6083871440851785,0.7216719079467484,-1.428305414556705,2,2
MMP0382,xs,i,1.85329050356222,0.055489654690602914,0.6083871440851785,-1.070809341797099,-2.924099845359319,2,3
MMP1274,xs,i,1.8007016066506412,0.08635305998127529,0.6083871440851785,-1.6497359801230325,-3.4504375867736736,3,3
MMP1152,xs,i,1.774457677258604,0.07796831932948053,0.6083871440851785,0.27022674689623766,-1.5042309303623664,3,2
MMP1272,xs,i,1.767341152442218,0.019051367467278504,0.6083871440851785,-0.6791055557604354,-2.4464467082026533,3,3
MMP1261,xs,i,1.7166734582744563,0.0751397361724227,0.6083871440851785,-0.15078472208782542,-1.8674581803622816,3,3
MMP0983,xs,i,1.6138009668629112,0.02557405846845489,0.6083871440851785,0.2994948629154859,-1.3143061039474253,3,3
MMP1308,xs,i,1.6014783615832062,0.020160040667283698,0.6083871440851785,0.010711847562998164,-1.590766514020208,3,3
MMP0980,xs,i,1.6000183598955393,0.026298739083608597,0.6083871440851785,-0.31858544522060134,-1.9186038051161407,3,3
MMP1271,xs,i,1.5216859581847426,0.08854507693470497,0.6083871440851785,-0.012438888844205742,-1.5341248470289484,3,3
MMP1002,xs,i,1.5133602166813354,0.019431394295008942,0.6083871440851785,0.5091292863189689,-1.0042309303623664,2,2
MMP0602,xs,i,1.4013982716716271,0.022599669729219653,0.6083871440851785,1.3971673413092607,-0.00423093036236645,3,2
MMP0979,xs,i,1.3341543947769736,0.07575682113362683,0.6083871440851785,1.1568259910441112,-0.17732840373286252,3,3
MMP0059,xs,i,1.3130411966435394,0.09096633027548812,0.6083871440851785,0.993535080313725,-0.3195061163298145,3,3
MMP0618,xs,i,1.2463375755081272,0.06359253566381393,0.6083871440851785,2.271477458322974,1.025139882814847,3,2
MMP0057,xs,i,1.24285220147353,0.059016617958379994,0.6083871440851785,-0.3654034522348602,-1.60825565370839,3,3
MMP0385,xs,i,1.1883526231380306,0.09457071843872412,0.6083871440851785,0.18254861065058292,-1.0058040124874477,3,3
MMP0947,xs,i,1.1573161556881586,0.0906231747983514,0.6083871440851785,-0.5151545234659557,-1.6724706791541142,3,3
MMP1011,xs,i,1.146508995866778,0.07864327766748166,0.6083871440851785,-0.3876158497104973,-1.5341248455772754,3,3
MMP0148,xs,i,1.1461303704799342,0.0889443843789693,0.6083871440851785,-0.7488005162703016,-1.8949308867502357,3,3
MMP0879,xs,i,1.1201467165802084,0.06551765513493056,0.6083871440851785,0.7493618504831675,-0.3707848660970409,3,3
MMP1063,xs,i,1.1043529951577291,0.04577220544113469,0.6083871440851785,0.39870375883687403,-0.7056492363208552,3,3
MMP0094,xs,i,1.0990288508009491,0.015868826141690995,0.6083871440851785,0.014153158257677427,-1.0848756925432717,2,2
MMP0981,xs,i,1.0381291912636645,0.032193429851096786,0.6083871440851785,-0.42666463994703663,-1.4647938312107012,3,3
MMP1432,xs,i,1.018200269238268,0.07429148476008106,0.6083871440851785,0.17037331929176733,-0.8478269499465005,3,3
MMP1259,xs,i,1.0069124527565378,0.02889900458324073,0.6083871440851785,-0.577880091818627,-1.584792544575165,3,3
MMP1474,xs,i,0.9691361298746366,0.009400890950660507,0.6083871440851785,0.6299987835646487,-0.339137346309988,3,3
MMP0081,xs,i,0.9616335231090469,0.031051833395892136,0.6083871440851785,0.5025308619105417,-0.45910266119850524,3,3
MMP0253,xs,i,0.9344379720002054,0.07904647380488847,0.6083871440851785,0.4238350313355101,-0.5106029406646954,3,3
MMP0080,xs,i,0.8996030862735916,0.017425500305742577,0.6083871440851785,-0.15292681206099734,-1.052529898334589,3,3
MMP1298,xs,i,0.855105787529479,0.06736163716838652,0.6083871440851785,0.19453150518773435,-0.6605742823417446,3,3
MMP1212,xs,i,0.8506245803533481,0.0886693225142307,0.6083871440851785,0.38139028817025444,-0.4692342921830937,3,3
MMP1003,xs,i,0.8480784309845324,0.04458558717276764,0.6083871440851785,0.7632027384412607,-0.08487569254327165,2,2
MMP1326,xs,i,0.8043515928398315,0.0834158050417883,0.6083871440851785,0.46521424701905056,-0.339137345820781,3,3
MMP0318,xs,i,0.7091002168612652,0.01641526966529213,0.6083871440851785,-0.087360054864261,-0.7964602717255262,3,3
MMP1369,xs,i,0.6685603811773226,0.07611774675876601,0.6083871440851785,-0.43498227245481136,-1.103542653632134,3,3
MMP0073,xs,i,0.5343419075986936,0.06513040345943127,0.6083871440851785,0.25667941882369916,-0.27766248877499444,3,3
MMP1424,xs,i,0.5264053114645744,0.071333051422413,0.6083871440851785,1.515881944543114,0.9894766330785396,3,3
MMP1366,xs,i,0.5179754018452056,0.09471895656415952,0.6083871440851785,-1.0223546705720339,-1.5403300724172395,3,3
MMP1370,xs,i,0.48977030800497906,0.09225897507982919,0.6083871440851785,-0.3730588849007373,-0.8628291929057164,3,3
MMP0135,xs,i,0.4855286536836203,0.07858859128889091,0.6083871440851785,-0.021759498711292208,-0.5072881523949125,3,3
MMP0396,xs,i,0.4851766389504788,0.07590243140545277,0.6083871440851785,-1.0299280296350724,-1.5151046685855512,3,3
MMP1013,xs,i,0.393475808750834,0.06935486464437109,0.6083871440851785,0.6555617545253902,0.26208594577455624,3,3
MMP1218,xs,i,0.28860168927371604,0.09393487393509282,0.6083871440851785,0.7679067502211221,0.47930506094740605,3,3
