label,p_value_formate,fdr_formate,description,category,venn_region,p_value_phosphate,fdr_phosphate
"Macromolecule biosynthetic process, and Protein transport [NetworkNeighborAL]",7.89e-19,2.91e-16,"Macromolecule biosynthetic process, and Protein transport",NetworkNeighborAL,formate_only,,
"Gene expression, and Intracellular membrane-bounded organelle [NetworkNeighborAL]",4.92e-17,6.05e-15,"Gene expression, and Intracellular membrane-bounded organelle",NetworkNeighborAL,formate_only,,
"Ribonucleoprotein, and Translation regulator activity [NetworkNeighborAL]",5.42e-17,6.05e-15,"Ribonucleoprotein, and Translation regulator activity",NetworkNeighborAL,formate_only,,
"Ribosome, and Translation regulator activity [NetworkNeighborAL]",8.69e-16,4.58e-14,"Ribosome, and Translation regulator activity",NetworkNeighborAL,formate_only,,
Macromolecule biosynthetic process [Process],1.06e-13,8.83e-11,Macromolecule biosynthetic process,Process,formate_only,,
Protein metabolic process [Process],6.8e-13,2.83e-10,Protein metabolic process,Process,formate_only,,
Ribosome [NetworkNeighborAL],7.45e-12,3.06e-10,Ribosome,NetworkNeighborAL,formate_only,,
Ribonucleoprotein [Keyword],7.45e-12,1.21e-09,Ribonucleoprotein,Keyword,formate_only,,
Macromolecule metabolic process [Process],2.3e-11,6.38e-09,Macromolecule metabolic process,Process,formate_only,,
Cellular macromolecule biosynthetic process [Process],2.49e-11,6.38e-09,Cellular macromolecule biosynthetic process,Process,formate_only,,
Gene expression [Process],3.09e-11,6.38e-09,Gene expression,Process,formate_only,,
Translation [Process],3.65e-11,6.38e-09,Translation,Process,formate_only,,
Ribosomal protein [Keyword],5.13e-11,4.16e-09,Ribosomal protein,Keyword,formate_only,,
Ribosome [KEGG],5.13e-11,4.11e-09,Ribosome,KEGG,formate_only,,
Ribosome [Component],5.44e-11,6.53e-09,Ribosome,Component,formate_only,,
Structural constituent of ribosome [Function],7.53e-11,4.26e-08,Structural constituent of ribosome,Function,formate_only,,
Structural molecule activity [Function],8.42e-11,4.26e-08,Structural molecule activity,Function,formate_only,,
Intracellular non-membrane-bounded organelle [Component],9.45e-11,6.53e-09,Intracellular non-membrane-bounded organelle,Component,formate_only,,
Organelle [Component],9.98e-11,6.53e-09,Organelle,Component,formate_only,,
Non-membrane-bounded organelle [Component],1.1e-10,6.53e-09,Non-membrane-bounded organelle,Component,formate_only,,
Cellular amide metabolic process [Process],1.45e-10,1.34e-08,Cellular amide metabolic process,Process,formate_only,,
Amide biosynthetic process [Process],1.73e-10,1.44e-08,Amide biosynthetic process,Process,formate_only,,
Intracellular organelle [Component],2.92e-10,6.53e-09,Intracellular organelle,Component,formate_only,,
"Methane metabolism, and 4Fe-4S dicluster domain [NetworkNeighborAL]",6.87e-10,2.31e-08,"Methane metabolism, and 4Fe-4S dicluster domain",NetworkNeighborAL,formate_only,,
Cellular macromolecule metabolic process [Process],4.99e-09,2.77e-07,Cellular macromolecule metabolic process,Process,formate_only,,
Organelle [COMPARTMENTS],1.62e-07,3.21e-05,Organelle,COMPARTMENTS,formate_only,,
