category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
Process	GO:0044249	134	393	406327	guaAB,pyrG,ABR53955.1,ABR53969.1,ABR53981.1,ABR54082.1,ABR54089.1,ABR54123.1,eIF5A,hisG,hisD,ABR54203.1,carB,ABR54255.1,tmk,ABR54285.1,ABR54286.1,ABR54293.1,ilvE,argD,purF,leuC,MMP1154,MMP1155,hisC,bioB,nadA,ABR54470.1,purM,gatE,dnaG,purO,ABR54532.1,rpl18e,rpoH,nusA,purP,asd,ef1b,rpl32e,rpl30,purA,spt5,guaAA,leuC-2,nadK,pyrE,ABR54719.1,ABR54720.1,ABR54722.1,ABR54747.1,ABR54773.1,ABR54774.1,ABR54775.1,ABR54776.1,ABR54777.1,mtrE,mtrD,mtrC,mtrB,mtrA,mtrA-2,mtrG,mtrH,bioD,bioF,bioW,ABR54795.1,rps15,carA,trpS,rps8e,pyrB,ABR54896.1,ABR54907.1,ABR54912.1,rps27e,hisF,tfb,argG,ABR54998.1,ABR54999.1,hemA,ABR55001.1,ABR55004.1,rpl21e,argC,purT,MMP0126,hmd,ilvE-2,guaB,ABR55040.1,leuD,ABR55046.1,hpt,MMP0153,purQ,purL,ribK,thiC,polC,polB,ABR55116.1,mptD,rpl12,purE,ABR55199.1,ABR55213.1,ABR55214.1,ilvD,mtd,hacB,pyrH,purD,ABR55285.1,prs,pyrD,ABR55321.1,ABR55323.1,dapA,ABR55368.1,eif1a,apt2,ilvC,ABR55434.1,ABR55435.1,proS,ABR55555.1,ABR55556.1,ABR55585.1,MMP0540,ABR55587.1,ABR55591.1	guaAB,pyrG,ABR53955.1,ABR53969.1,ABR53981.1,ABR54082.1,ABR54089.1,ABR54123.1,eIF5A,hisG,hisD,ABR54203.1,carB,ABR54255.1,tmk,ABR54285.1,ABR54286.1,ABR54293.1,ilvE,argD,purF,leuC,ABR54381.1,ABR54382.1,hisC,bioB,nadA,ABR54470.1,purM,gatE,dnaG,purO,ABR54532.1,rpl18e,rpoH,nusA,purP,asd,ef1b,rpl32e,rpl30,purA,spt5,guaAA,leuC-2,nadK,pyrE,ABR54719.1,ABR54720.1,ABR54722.1,ABR54747.1,ABR54773.1,ABR54774.1,ABR54775.1,ABR54776.1,ABR54777.1,mtrE,mtrD,mtrC,mtrB,mtrA,mtrA-2,mtrG,mtrH,bioD,bioF,bioW,ABR54795.1,rps15,carA,trpS,rps8e,pyrB,ABR54896.1,ABR54907.1,ABR54912.1,rps27e,hisF,tfb,argG,ABR54998.1,ABR54999.1,hemA,ABR55001.1,ABR55004.1,rpl21e,argC,purT,ABR55031.1,hmd,ilvE-2,guaB,ABR55040.1,leuD,ABR55046.1,hpt,ABR55056.1,purQ,purL,ribK,thiC,polC,polB,ABR55116.1,mptD,rpl12,purE,ABR55199.1,ABR55213.1,ABR55214.1,ilvD,mtd,hacB,pyrH,purD,ABR55285.1,prs,pyrD,ABR55321.1,ABR55323.1,dapA,ABR55368.1,eif1a,apt2,ilvC,ABR55434.1,ABR55435.1,proS,ABR55555.1,ABR55556.1,ABR55585.1,purC,ABR55587.1,ABR55591.1	1.82e-12	1.51e-09	Cellular biosynthetic process
Process	GO:1901576	134	401	406327	guaAB,pyrG,ABR53955.1,ABR53969.1,ABR53981.1,ABR54082.1,ABR54089.1,ABR54123.1,eIF5A,hisG,hisD,ABR54203.1,carB,ABR54255.1,tmk,ABR54285.1,ABR54286.1,ABR54293.1,ilvE,argD,purF,leuC,MMP1154,MMP1155,hisC,bioB,nadA,ABR54470.1,purM,gatE,dnaG,purO,ABR54532.1,rpl18e,rpoH,nusA,purP,asd,ef1b,rpl32e,rpl30,purA,spt5,guaAA,leuC-2,nadK,pyrE,ABR54719.1,ABR54720.1,ABR54722.1,ABR54747.1,ABR54773.1,ABR54774.1,ABR54775.1,ABR54776.1,ABR54777.1,mtrE,mtrD,mtrC,mtrB,mtrA,mtrA-2,mtrG,mtrH,bioD,bioF,bioW,ABR54795.1,rps15,carA,trpS,rps8e,pyrB,ABR54896.1,ABR54907.1,ABR54912.1,rps27e,hisF,tfb,argG,ABR54998.1,ABR54999.1,hemA,ABR55001.1,ABR55004.1,rpl21e,argC,purT,MMP0126,hmd,ilvE-2,guaB,ABR55040.1,leuD,ABR55046.1,hpt,MMP0153,purQ,purL,ribK,thiC,polC,polB,ABR55116.1,mptD,rpl12,purE,ABR55199.1,ABR55213.1,ABR55214.1,ilvD,mtd,hacB,pyrH,purD,ABR55285.1,prs,pyrD,ABR55321.1,ABR55323.1,dapA,ABR55368.1,eif1a,apt2,ilvC,ABR55434.1,ABR55435.1,proS,ABR55555.1,ABR55556.1,ABR55585.1,MMP0540,ABR55587.1,ABR55591.1	guaAB,pyrG,ABR53955.1,ABR53969.1,ABR53981.1,ABR54082.1,ABR54089.1,ABR54123.1,eIF5A,hisG,hisD,ABR54203.1,carB,ABR54255.1,tmk,ABR54285.1,ABR54286.1,ABR54293.1,ilvE,argD,purF,leuC,ABR54381.1,ABR54382.1,hisC,bioB,nadA,ABR54470.1,purM,gatE,dnaG,purO,ABR54532.1,rpl18e,rpoH,nusA,purP,asd,ef1b,rpl32e,rpl30,purA,spt5,guaAA,leuC-2,nadK,pyrE,ABR54719.1,ABR54720.1,ABR54722.1,ABR54747.1,ABR54773.1,ABR54774.1,ABR54775.1,ABR54776.1,ABR54777.1,mtrE,mtrD,mtrC,mtrB,mtrA,mtrA-2,mtrG,mtrH,bioD,bioF,bioW,ABR54795.1,rps15,carA,trpS,rps8e,pyrB,ABR54896.1,ABR54907.1,ABR54912.1,rps27e,hisF,tfb,argG,ABR54998.1,ABR54999.1,hemA,ABR55001.1,ABR55004.1,rpl21e,argC,purT,ABR55031.1,hmd,ilvE-2,guaB,ABR55040.1,leuD,ABR55046.1,hpt,ABR55056.1,purQ,purL,ribK,thiC,polC,polB,ABR55116.1,mptD,rpl12,purE,ABR55199.1,ABR55213.1,ABR55214.1,ilvD,mtd,hacB,pyrH,purD,ABR55285.1,prs,pyrD,ABR55321.1,ABR55323.1,dapA,ABR55368.1,eif1a,apt2,ilvC,ABR55434.1,ABR55435.1,proS,ABR55555.1,ABR55556.1,ABR55585.1,purC,ABR55587.1,ABR55591.1	6.78e-12	2.82e-09	Organic substance biosynthetic process
Process	GO:0009058	136	414	406327	guaAB,pyrG,ABR53955.1,ABR53969.1,ABR53981.1,ABR54082.1,ABR54089.1,ABR54123.1,eIF5A,hisG,hisD,ABR54203.1,carB,ABR54255.1,tmk,ABR54285.1,ABR54286.1,ABR54293.1,ilvE,argD,purF,leuC,MMP1154,MMP1155,hisC,bioB,nadA,ABR54470.1,purM,gatE,dnaG,purO,ABR54532.1,rpl18e,rpoH,nusA,purP,asd,ef1b,rpl32e,rpl30,purA,spt5,guaAA,leuC-2,nadK,pyrE,ABR54719.1,ABR54720.1,ABR54722.1,ABR54747.1,ABR54773.1,ABR54774.1,ABR54775.1,ABR54776.1,ABR54777.1,mtrE,mtrD,mtrC,mtrB,mtrA,mtrA-2,mtrG,mtrH,bioD,bioF,bioW,ABR54795.1,rps15,carA,trpS,rps8e,pyrB,ABR54896.1,ABR54907.1,ABR54912.1,rps27e,hisF,tfb,argG,ABR54998.1,ABR54999.1,hemA,ABR55001.1,ABR55004.1,rpl21e,ABR55008.1,argC,purT,MMP0126,hmd,ilvE-2,guaB,ABR55040.1,leuD,ABR55046.1,hpt,MMP0153,ABR55075.1,purQ,purL,ribK,thiC,polC,polB,ABR55116.1,mptD,rpl12,purE,ABR55199.1,ABR55213.1,ABR55214.1,ilvD,mtd,hacB,pyrH,purD,ABR55285.1,prs,pyrD,ABR55321.1,ABR55323.1,dapA,ABR55368.1,eif1a,apt2,ilvC,ABR55434.1,ABR55435.1,proS,ABR55555.1,ABR55556.1,ABR55585.1,MMP0540,ABR55587.1,ABR55591.1	guaAB,pyrG,ABR53955.1,ABR53969.1,ABR53981.1,ABR54082.1,ABR54089.1,ABR54123.1,eIF5A,hisG,hisD,ABR54203.1,carB,ABR54255.1,tmk,ABR54285.1,ABR54286.1,ABR54293.1,ilvE,argD,purF,leuC,ABR54381.1,ABR54382.1,hisC,bioB,nadA,ABR54470.1,purM,gatE,dnaG,purO,ABR54532.1,rpl18e,rpoH,nusA,purP,asd,ef1b,rpl32e,rpl30,purA,spt5,guaAA,leuC-2,nadK,pyrE,ABR54719.1,ABR54720.1,ABR54722.1,ABR54747.1,ABR54773.1,ABR54774.1,ABR54775.1,ABR54776.1,ABR54777.1,mtrE,mtrD,mtrC,mtrB,mtrA,mtrA-2,mtrG,mtrH,bioD,bioF,bioW,ABR54795.1,rps15,carA,trpS,rps8e,pyrB,ABR54896.1,ABR54907.1,ABR54912.1,rps27e,hisF,tfb,argG,ABR54998.1,ABR54999.1,hemA,ABR55001.1,ABR55004.1,rpl21e,ABR55008.1,argC,purT,ABR55031.1,hmd,ilvE-2,guaB,ABR55040.1,leuD,ABR55046.1,hpt,ABR55056.1,ABR55075.1,purQ,purL,ribK,thiC,polC,polB,ABR55116.1,mptD,rpl12,purE,ABR55199.1,ABR55213.1,ABR55214.1,ilvD,mtd,hacB,pyrH,purD,ABR55285.1,prs,pyrD,ABR55321.1,ABR55323.1,dapA,ABR55368.1,eif1a,apt2,ilvC,ABR55434.1,ABR55435.1,proS,ABR55555.1,ABR55556.1,ABR55585.1,purC,ABR55587.1,ABR55591.1	1.24e-11	3.45e-09	Biosynthetic process
Process	GO:0044281	98	274	406327	guaAB,pyrG,ABR53955.1,ABR53969.1,ABR54082.1,iscS,ABR54089.1,ABR54123.1,hisG,hisD,ABR54203.1,carB,ABR54255.1,tmk,ABR54293.1,ilvE,argD,purF,leuC,hisC,bioB,nadA,purM,ABR54514.1,purO,ABR54532.1,purP,asd,purA,guaAA,leuC-2,nadK,pyrE,ABR54719.1,ABR54720.1,ABR54722.1,ABR54747.1,pgk,mtrE,mtrD,mtrC,mtrB,mtrA,mtrA-2,mtrG,mtrH,bioD,bioF,bioW,ABR54795.1,carA,trpS,pyrB,ABR54907.1,hisF,ABR54928.1,argG,ABR54999.1,argC,cofC,purT,MMP0126,hmd,ilvE-2,guaB,ABR55040.1,leuD,ABR55046.1,hpt,MMP0153,purQ,purL,ribK,thiC,ABR55116.1,purE,ABR55199.1,ABR55213.1,ABR55214.1,ilvD,mtd,hacB,pyrH,purD,ABR55285.1,prs,pyrD,ABR55323.1,dapA,ABR55368.1,apt2,ilvC,ABR55434.1,ABR55435.1,proS,ABR55585.1,MMP0540,ABR55587.1	guaAB,pyrG,ABR53955.1,ABR53969.1,ABR54082.1,iscS,ABR54089.1,ABR54123.1,hisG,hisD,ABR54203.1,carB,ABR54255.1,tmk,ABR54293.1,ilvE,argD,purF,leuC,hisC,bioB,nadA,purM,ABR54514.1,purO,ABR54532.1,purP,asd,purA,guaAA,leuC-2,nadK,pyrE,ABR54719.1,ABR54720.1,ABR54722.1,ABR54747.1,pgk,mtrE,mtrD,mtrC,mtrB,mtrA,mtrA-2,mtrG,mtrH,bioD,bioF,bioW,ABR54795.1,carA,trpS,pyrB,ABR54907.1,hisF,ABR54928.1,argG,ABR54999.1,argC,cofC,purT,ABR55031.1,hmd,ilvE-2,guaB,ABR55040.1,leuD,ABR55046.1,hpt,ABR55056.1,purQ,purL,ribK,thiC,ABR55116.1,purE,ABR55199.1,ABR55213.1,ABR55214.1,ilvD,mtd,hacB,pyrH,purD,ABR55285.1,prs,pyrD,ABR55323.1,dapA,ABR55368.1,apt2,ilvC,ABR55434.1,ABR55435.1,proS,ABR55585.1,purC,ABR55587.1	1.22e-09	2.53e-07	Small molecule metabolic process
Process	GO:0045333	27	33	406327	ABR53981.1,sucD,ABR54285.1,ABR54286.1,ABR54298.1,ABR54338.1,MMP1154,MMP1155,ABR54470.1,ABR54773.1,ABR54774.1,ABR54775.1,ABR54776.1,ABR54777.1,mtrE,mtrD,mtrC,mtrB,mtrA,mtrA-2,mtrG,mtrH,ABR54896.1,hmd,mtd,ABR55555.1,ABR55556.1	ABR53981.1,sucD,ABR54285.1,ABR54286.1,ABR54298.1,ABR54338.1,ABR54381.1,ABR54382.1,ABR54470.1,ABR54773.1,ABR54774.1,ABR54775.1,ABR54776.1,ABR54777.1,mtrE,mtrD,mtrC,mtrB,mtrA,mtrA-2,mtrG,mtrH,ABR54896.1,hmd,mtd,ABR55555.1,ABR55556.1	3.48e-08	5.78e-06	Cellular respiration
Process	GO:0009156	25	30	406327	guaAB,ABR54203.1,carB,purF,purM,purO,purP,purA,guaAA,pyrE,carA,pyrB,purT,guaB,hpt,purQ,purL,ribK,purE,purD,prs,pyrD,ABR55368.1,apt2,MMP0540	guaAB,ABR54203.1,carB,purF,purM,purO,purP,purA,guaAA,pyrE,carA,pyrB,purT,guaB,hpt,purQ,purL,ribK,purE,purD,prs,pyrD,ABR55368.1,apt2,purC	9.05e-08	1.08e-05	Ribonucleoside monophosphate biosynthetic process
Process	GO:0044237	156	581	406327	guaAB,pyrG,ABR53955.1,ABR53969.1,ABR53981.1,sucD,ABR54082.1,iscS,ABR54089.1,ABR54123.1,trmY,eIF5A,cca,hisG,hisD,ABR54203.1,rsmA,ABR54235.1,carB,ABR54255.1,tmk,ABR54285.1,ABR54286.1,ABR54293.1,ABR54298.1,ilvE,argD,ABR54338.1,endA,purF,leuC,MMP1154,MMP1155,ABR54389.1,hisC,bioB,nadA,ABR54470.1,purM,gatE,dnaG,ABR54514.1,purO,ABR54532.1,rpl18e,rpoH,nusA,purP,asd,ef1b,rpl32e,rpl30,ABR54642.1,purA,spt5,guaAA,leuC-2,nadK,pyrE,ABR54719.1,ABR54720.1,ABR54722.1,ABR54747.1,pgk,ABR54773.1,ABR54774.1,ABR54775.1,ABR54776.1,ABR54777.1,mtrE,mtrD,mtrC,mtrB,mtrA,mtrA-2,mtrG,mtrH,bioD,bioF,bioW,ABR54795.1,rps15,carA,trpS,rps8e,pyrB,ABR54896.1,ABR54907.1,ABR54912.1,rps27e,hisF,ABR54928.1,tfb,argG,pelA,ABR54998.1,ABR54999.1,hemA,ABR55001.1,ABR55004.1,rpl21e,pus10,argC,cofC,purT,MMP0126,hmd,ilvE-2,guaB,ABR55040.1,leuD,ABR55046.1,hpt,MMP0153,purQ,purL,ribK,thiC,polC,polB,ABR55116.1,ABR55138.1,mptD,rpl12,ABR55177.1,purE,ABR55199.1,ABR55213.1,ABR55214.1,ilvD,mtd,hacB,pyrH,purD,ABR55285.1,prs,ABR55302.1,pyrD,ABR55321.1,ABR55323.1,dapA,ABR55368.1,eif1a,tiaS,apt2,ilvC,ABR55434.1,ABR55435.1,proS,ABR55555.1,ABR55556.1,ABR55583.1,ABR55585.1,MMP0540,ABR55587.1,ABR55591.1	guaAB,pyrG,ABR53955.1,ABR53969.1,ABR53981.1,sucD,ABR54082.1,iscS,ABR54089.1,ABR54123.1,trmY,eIF5A,cca,hisG,hisD,ABR54203.1,rsmA,ABR54235.1,carB,ABR54255.1,tmk,ABR54285.1,ABR54286.1,ABR54293.1,ABR54298.1,ilvE,argD,ABR54338.1,endA,purF,leuC,ABR54381.1,ABR54382.1,ABR54389.1,hisC,bioB,nadA,ABR54470.1,purM,gatE,dnaG,ABR54514.1,purO,ABR54532.1,rpl18e,rpoH,nusA,purP,asd,ef1b,rpl32e,rpl30,ABR54642.1,purA,spt5,guaAA,leuC-2,nadK,pyrE,ABR54719.1,ABR54720.1,ABR54722.1,ABR54747.1,pgk,ABR54773.1,ABR54774.1,ABR54775.1,ABR54776.1,ABR54777.1,mtrE,mtrD,mtrC,mtrB,mtrA,mtrA-2,mtrG,mtrH,bioD,bioF,bioW,ABR54795.1,rps15,carA,trpS,rps8e,pyrB,ABR54896.1,ABR54907.1,ABR54912.1,rps27e,hisF,ABR54928.1,tfb,argG,pelA,ABR54998.1,ABR54999.1,hemA,ABR55001.1,ABR55004.1,rpl21e,pus10,argC,cofC,purT,ABR55031.1,hmd,ilvE-2,guaB,ABR55040.1,leuD,ABR55046.1,hpt,ABR55056.1,purQ,purL,ribK,thiC,polC,polB,ABR55116.1,ABR55138.1,mptD,rpl12,ABR55177.1,purE,ABR55199.1,ABR55213.1,ABR55214.1,ilvD,mtd,hacB,pyrH,purD,ABR55285.1,prs,ABR55302.1,pyrD,ABR55321.1,ABR55323.1,dapA,ABR55368.1,eif1a,tiaS,apt2,ilvC,ABR55434.1,ABR55435.1,proS,ABR55555.1,ABR55556.1,ABR55583.1,ABR55585.1,purC,ABR55587.1,ABR55591.1	1.17e-07	1.22e-05	Cellular metabolic process
Process	GO:0009123	27	39	406327	guaAB,ABR54203.1,carB,tmk,purF,purM,purO,purP,purA,guaAA,pyrE,carA,pyrB,purT,guaB,hpt,purQ,purL,ribK,purE,pyrH,purD,prs,pyrD,ABR55368.1,apt2,MMP0540	guaAB,ABR54203.1,carB,tmk,purF,purM,purO,purP,purA,guaAA,pyrE,carA,pyrB,purT,guaB,hpt,purQ,purL,ribK,purE,pyrH,purD,prs,pyrD,ABR55368.1,apt2,purC	3.92e-07	2.13e-05	Nucleoside monophosphate metabolic process
Process	GO:0015948	24	30	406327	ABR53981.1,ABR54285.1,ABR54286.1,MMP1154,MMP1155,ABR54470.1,ABR54773.1,ABR54774.1,ABR54775.1,ABR54776.1,ABR54777.1,mtrE,mtrD,mtrC,mtrB,mtrA,mtrA-2,mtrG,mtrH,ABR54896.1,hmd,mtd,ABR55555.1,ABR55556.1	ABR53981.1,ABR54285.1,ABR54286.1,ABR54381.1,ABR54382.1,ABR54470.1,ABR54773.1,ABR54774.1,ABR54775.1,ABR54776.1,ABR54777.1,mtrE,mtrD,mtrC,mtrB,mtrA,mtrA-2,mtrG,mtrH,ABR54896.1,hmd,mtd,ABR55555.1,ABR55556.1	2.82e-07	2.13e-05	Methanogenesis
Process	GO:0046390	29	47	406327	guaAB,pyrG,ABR54203.1,carB,purF,purM,purO,purP,purA,guaAA,pyrE,ABR54722.1,carA,pyrB,purT,guaB,hpt,purQ,purL,ribK,purE,pyrH,purD,prs,pyrD,ABR55323.1,ABR55368.1,apt2,MMP0540	guaAB,pyrG,ABR54203.1,carB,purF,purM,purO,purP,purA,guaAA,pyrE,ABR54722.1,carA,pyrB,purT,guaB,hpt,purQ,purL,ribK,purE,pyrH,purD,prs,pyrD,ABR55323.1,ABR55368.1,apt2,purC	8.31e-07	3.46e-05	Ribose phosphate biosynthetic process
Process	GO:0009260	28	46	406327	guaAB,pyrG,ABR54203.1,carB,purF,purM,purO,purP,purA,guaAA,pyrE,ABR54722.1,carA,pyrB,purT,guaB,hpt,purQ,purL,ribK,purE,pyrH,purD,pyrD,ABR55323.1,ABR55368.1,apt2,MMP0540	guaAB,pyrG,ABR54203.1,carB,purF,purM,purO,purP,purA,guaAA,pyrE,ABR54722.1,carA,pyrB,purT,guaB,hpt,purQ,purL,ribK,purE,pyrH,purD,pyrD,ABR55323.1,ABR55368.1,apt2,purC	1.59e-06	6.31e-05	Ribonucleotide biosynthetic process
