Gene names (ordered locus ),growth_rate,bio_rep,tech_rep,value,Anabolism/Catabolism,Assigned functional subsystem,Annotation (Uniprot),Automatic classification (RAST),Present in dataset
MMP0001,f,1.0,3,0.491,Catabolism,Methanogenesis,Conserved archaeal protein,Methanogenesis,yes
MMP0001,f,2.0,2,0.595,Catabolism,Methanogenesis,Conserved archaeal protein,Methanogenesis,yes
MMP0001,m,1.0,3,0.527,Catabolism,Methanogenesis,Conserved archaeal protein,Methanogenesis,yes
MMP0001,m,2.0,1,0.362,Catabolism,Methanogenesis,Conserved archaeal protein,Methanogenesis,yes
MMP0001,m,2.0,2,0.893,Catabolism,Methanogenesis,Conserved archaeal protein,Methanogenesis,yes
MMP0001,m,3.0,3,1.619,Catabolism,Methanogenesis,Conserved archaeal protein,Methanogenesis,yes
MMP0001,s,2.0,2,0.679,Catabolism,Methanogenesis,Conserved archaeal protein,Methanogenesis,yes
MMP0001,s,3.0,1,1.574,Catabolism,Methanogenesis,Conserved archaeal protein,Methanogenesis,yes
MMP0001,s,3.0,3,1.899,Catabolism,Methanogenesis,Conserved archaeal protein,Methanogenesis,yes
MMP0001,xs,1.0,1,0.367,Catabolism,Methanogenesis,Conserved archaeal protein,Methanogenesis,yes
MMP0001,xs,1.0,2,0.942,Catabolism,Methanogenesis,Conserved archaeal protein,Methanogenesis,yes
MMP0001,xs,1.0,3,0.627,Catabolism,Methanogenesis,Conserved archaeal protein,Methanogenesis,yes
MMP0001,xs,2.0,2,0.381,Catabolism,Methanogenesis,Conserved archaeal protein,Methanogenesis,yes
MMP0001,xs,2.0,3,2.401,Catabolism,Methanogenesis,Conserved archaeal protein,Methanogenesis,yes
MMP0002,f,3.0,2,0.188,Other,Other/unassigned,UPF0425 pyridoxal phosphate-dependent protein MMP0002,- none -,yes
MMP0002,m,1.0,1,0.129,Other,Other/unassigned,UPF0425 pyridoxal phosphate-dependent protein MMP0002,- none -,yes
MMP0002,m,3.0,1,0.281,Other,Other/unassigned,UPF0425 pyridoxal phosphate-dependent protein MMP0002,- none -,yes
MMP0002,s,1.0,2,0.441,Other,Other/unassigned,UPF0425 pyridoxal phosphate-dependent protein MMP0002,- none -,yes
MMP0002,s,3.0,1,0.312,Other,Other/unassigned,UPF0425 pyridoxal phosphate-dependent protein MMP0002,- none -,yes
MMP0002,s,3.0,2,0.527,Other,Other/unassigned,UPF0425 pyridoxal phosphate-dependent protein MMP0002,- none -,yes
MMP0002,s,3.0,3,0.351,Other,Other/unassigned,UPF0425 pyridoxal phosphate-dependent protein MMP0002,- none -,yes
