Gene names (ordered locus ),growth_rate,bio_rep,tech_rep,value,Anabolism/Catabolism,Assigned functional subsystem,Annotation (Uniprot),Automatic classification (RAST),Present in dataset
MMP0001,xs,2,,0.360829016,Catabolism,Methanogenesis,Conserved archaeal protein,Methanogenesis,yes
MMP0001,f,1,,0.655707762,Catabolism,Methanogenesis,Conserved archaeal protein,Methanogenesis,yes
MMP0001,f,2,,1.507077141,Catabolism,Methanogenesis,Conserved archaeal protein,Methanogenesis,yes
MMP0001,f,3,,0.621584699,Catabolism,Methanogenesis,Conserved archaeal protein,Methanogenesis,yes
MMP0001,exp,1,,0.416500453,Catabolism,Methanogenesis,Conserved archaeal protein,Methanogenesis,yes
MMP0002,xs,1,,0.628068602,Other,Other/unassigned,UPF0425 pyridoxal phosphate-dependent protein MMP0002,- none -,yes
MMP0002,exp,2,,0.812738077,Other,Other/unassigned,UPF0425 pyridoxal phosphate-dependent protein MMP0002,- none -,yes
MMP0002,exp,3,,2.408573927,Other,Other/unassigned,UPF0425 pyridoxal phosphate-dependent protein MMP0002,- none -,yes
MMP0003,xs,1,,0.753682323,Other,Other/unassigned,2-oxoglutarate oxidoreductase alpha subunit (EC 1.2.7.3),- none -,yes
MMP0003,xs,2,,1.804145078,Other,Other/unassigned,2-oxoglutarate oxidoreductase alpha subunit (EC 1.2.7.3),- none -,yes
MMP0003,xs,3,,0.644984513,Other,Other/unassigned,2-oxoglutarate oxidoreductase alpha subunit (EC 1.2.7.3),- none -,yes
MMP0003,i,1,,0.555685056,Other,Other/unassigned,2-oxoglutarate oxidoreductase alpha subunit (EC 1.2.7.3),- none -,yes
MMP0003,i,3,,0.745440127,Other,Other/unassigned,2-oxoglutarate oxidoreductase alpha subunit (EC 1.2.7.3),- none -,yes
MMP0003,f,1,,0.655707763,Other,Other/unassigned,2-oxoglutarate oxidoreductase alpha subunit (EC 1.2.7.3),- none -,yes
MMP0003,f,2,,1.507077141,Other,Other/unassigned,2-oxoglutarate oxidoreductase alpha subunit (EC 1.2.7.3),- none -,yes
MMP0003,f,3,,1.243169399,Other,Other/unassigned,2-oxoglutarate oxidoreductase alpha subunit (EC 1.2.7.3),- none -,yes
MMP0003,exp,1,,0.416500453,Other,Other/unassigned,2-oxoglutarate oxidoreductase alpha subunit (EC 1.2.7.3),- none -,yes
